playerID,Name,birthYear,birthMonth,birthDay
ashke01,Ken Ash,1901,9,16
ashlebi01,Billy Ashley,1970,7,11
ashlene01,Nevin Ashley,1984,8,14
asmusto01,Tom Asmussen,1878,9,26
asprobo01,Bob Aspromonte,1938,6,19
asproke01,Ken Aspromonte,1931,9,22
assadja01,Javier Assad,1997,7,30
asselbr01,Brian Asselstine,1953,9,23
assenpa01,Paul Assenmacher,1960,12,10
astacez01,Ezequiel Astacio,1979,11,4
astacpe01,Pedro Astacio,1968,11,28
astinba01,Barrett Astin,1991,10,22
astrojo01,Joe Astroth,1922,9,1
astudwi01,Willians Astudillo,1991,10,14
asuajca01,Carlos Asuaje,1991,11,2
atchisc01,Scott Atchison,1976,3,29
atchlju01,Justin Atchley,1973,9,5
atherch01,Charlie Atherton,1873,11,19
atherke01,Keith Atherton,1959,2,19
atilalu01,Luis Atilano,1985,5,10
atkinal01,Al Atkinson,1861,3,9
atkinbi01,Bill Atkinson,1954,10,4
atkined01,Ed Atkinson,1851,NA,NA
atkinga01,Garrett Atkins,1979,12,12
atkinja01,James Atkins,1921,3,10
atkinle01,Lefty Atkinson,1904,6,4
atkinmi01,Mitch Atkins,1985,10,1
atkinto01,Tommy Atkins,1887,12,9
attredi01,Dick Attreau,1897,4,8
atwelto01,Toby Atwell,1924,3,8
atwoobi01,Bill Atwood,1911,9,25
atzja01,Jake Atz,1879,7,1
aubreha01,Harry Aubrey,1881,7,5
aubremi01,Michael Aubrey,1982,4,15
aucoide01,Derek Aucoin,1970,3,27
auderi01,Rich Aude,1971,7,13
auerbri01,Rick Auerbach,1950,2,15
augenbr01,Bryan Augenstein,1986,7,11
augusda01,Dave Augustine,1949,11,28
augusdo01,Don August,1963,7,3
augusje01,Jerry Augustine,1952,7,24
aukerel01,Elden Auker,1910,9,21
auldsle01,Tex Aulds,1920,12,28
aultdo01,Doug Ault,1950,3,9
aumonph01,Phillippe Aumont,1989,1,7
aurilri01,Rich Aurilia,1971,9,2
